Time (d);Temp (°C);DiffPress (bar);DTS (ppm);FeedQ (LMH);SaltPass (%)
2,491039427;1,494369369;0,480314961;0,391836735;0,972637829;1,608710577
2,491039427;1,391891892;0,47007874;0,391836735;0,972637829;1,61707788
3,702508961;1,421171171;0,480314961;0,391836735;0,971755725;1,628792105
8,548387097;1,45045045;0,47007874;0,391836735;0,974843087;1,64385325
13,39426523;1,46509009;0,480314961;0,381519274;0,97793045;1,653894014
13,39426523;1,413851351;0,493963255;0,368253968;0,979988691;1,64217979
18,24014337;1,377252252;0,497375328;0,358427816;0,98322307;1,64385325
20,66308244;1,326013514;0,508748906;0,353514739;0,980135708;1,700750912
25,50896057;1,289414414;0,515573053;0,344671202;0,97793045;1,687363227
27,93189964;1,252815315;0,511023622;0,347619048;0,97793045;1,67062862
32,77777778;1,260135135;0,517847769;0,3574452;0,971314673;1,689594508
35,20071685;1,208896396;0,514435696;0,353514739;0,960729432;1,677322463
40,04659498;1,194256757;0,504199475;0,359410431;0,958083121;1,677322463
44,89247312;1,186936937;0,493963255;0,352040816;0,954113656;1,687363227
49,73835125;1,179617117;0,495100612;0,340740741;0,949703138;1,602016735
54,58422939;1,201576577;0,514435696;0,33877551;0,946762793;1,59030251
59,43010753;1,245495495;0,502493438;0,329931973;0,953231552;1,580261746
63,06451613;1,245495495;0,515573053;0,317157974;0,956759966;1,48320103
64,27598566;1,289414414;0,524671916;0,313718821;0,96028838;1,550139455
69,1218638;1,318693694;0,52808399;0,300453515;0,96293469;1,573567904
72,7562724;1,304054054;0,524671916;0,306349206;0,967345208;1,566874061
73,96774194;1,362612613;0,536045494;0,304875283;0,970873622;1,575799185
77,60215054;1,333333333;0,542869641;0,309297052;0,97307888;1,627118644
78,81362007;1,362612613;0,54855643;0,315192744;0,97043257;1,638832868
83,65949821;1,326013514;0,545144357;0,324036281;0,966463104;1,628792105
88,50537634;1,340653153;0,556517935;0,326984127;0,962052587;1,638832868
93,35125448;1,369932432;0,563342082;0,317157974;0,96028838;1,640506329
96,98566308;1,391891892;0,569028871;0,31814059;0,960582414;1,628792105
98,19713262;1,435810811;0,557086614;0,331405896;0,964698897;1,56352714
103,0430108;1,47972973;0,541732283;0,32845805;0,969550466;1,610384038
107,8888889;1,523648649;0,52808399;0,324036281;0,972637829;1,607037116
113,1385902;1,528528529;0,521259843;0,319614512;0,971755725;1,607037116
117,9844683;1,557807808;0,507611549;0,319614512;0,974402036;1,607037116
121,2150538;1,582207207;0,487139108;0,325510204;0,974402036;1,607037116
122,8303465;1,645645646;0,47007874;0,329931973;0,973960984;1,610384038
127,2724014;1,670045045;0,476902887;0,33877551;0,973519932;1,673975542
132,1182796;1,648085586;0,47007874;0,347619048;0,97307888;1,667281699
136,9641577;1,640765766;0,45984252;0,344671202;0,972637829;1,687363227
141,8100358;1,662725225;0,466666667;0,344671202;0,972637829;1,694057069
146,655914;1,684684685;0,45984252;0,351549509;0,972637829;1,682342845
151,5017921;1,699324324;0,45984252;0,362358277;0,971755725;1,811199313
153,9247312;1,750563063;0,454155731;0,353514739;0,971314673;1,822355718
154,3285544;1,816441441;0,449606299;0,375132275;0,970873622;1,821240077
156,7514934;1,909159159;0,473490814;0,387414966;0,970873622;1,810083673
161,1935484;1,955518018;0,473490814;0,382993197;0,970873622;1,794464707
164,827957;1,948198198;0,473490814;0,377097506;0,97043257;1,702424372
166,4432497;1,996996997;0,461548556;0,377097506;0,969550466;1,737567046
170,8853047;2,028716216;0,473490814;0,382993197;0,971314673;1,727526282
173,7120669;2,084834835;0,449606299;0,397732426;0,972637829;1,858056211
176,9426523;2,094594595;0,456430446;0,410506425;0,974402036;1,844668526
178,1541219;2,145833333;0,449606299;0,424263039;0,976460277;1,817893156
181,7885305;2,153153153;0,439370079;0,424263039;0,97793045;1,724179361
183,4038232;2,201951952;0,429133858;0,40952381;0,976166243;1,898219266
187,8458781;2,226351351;0,432545932;0,400680272;0,976607294;1,966831152
192,6917563;2,240990991;0,43368329;0,403628118;0,977048346;1,717485518
197,5376344;2,255630631;0,439370079;0,400680272;0,975725191;1,737567046
202,3835125;2,255630631;0,439370079;0,399206349;0,973519932;1,799485089
207,2293907;2,255630631;0,439370079;0,404610733;0,969991518;1,824586998
212,0752688;2,255630631;0,439370079;0,406575964;0,966463104;1,821240077
216,921147;2,27027027;0,429133858;0,415419501;0,963816794;1,804505471
221,7670251;2,29954955;0,439370079;0,415419501;0,963375742;1,699077451
226,6129032;2,336148649;0,439370079;0,421315193;0,963816794;1,700750912
231,4587814;2,380067568;0,435958005;0,428684807;0,968227311;1,687363227
236,3046595;2,402027027;0,446194226;0,436054422;0,969991518;1,677322463
241,1505376;2,409346847;0,442782152;0,439002268;0,972931863;1,676206823
245,9964158;2,423986486;0,432545932;0,439002268;0,972637829;1,67062862
250,8422939;2,431306306;0,429133858;0,441950113;0,969991518;1,684016306
255,688172;2,431306306;0,440507437;0,444897959;0,971755725;1,657240935
260,5340502;2,460585586;0,439370079;0,439002268;0,967345208;1,647200172
265,3799283;2,460585586;0,453018373;0,429176115;0,964698897;1,637159408
270,2258065;2,431306306;0,45984252;0,41984127;0,961170483;1,878137739
272,6487455;2,380067568;0,45984252;0,424263039;0,959406277;1,717485518
277,4946237;2,372747748;0,45984252;0,43015873;0,958965225;1,863076593
282,3405018;2,387387387;0,453018373;0,434580499;0,965581001;1,864750054
287,1863799;2,402027027;0,442782152;0,436054422;0,962052587;1,864750054
292,0322581;2,372747748;0,449606299;0,433106576;0,969109415;1,876464278
296,8781362;2,328828829;0,446194226;0,423280423;0,984546226;1,891525424
301,7240143;2,29954955;0,435958005;0,412471655;0,979694656;1,80283201
306,5698925;2,255630631;0,453018373;0,421315193;0,992044105;1,811199313
311,4157706;2,197072072;0,466666667;0,450793651;0,988956743;1,817893156
316,2616487;2,153153153;0,478608924;0,439002268;0,999100933;1,861403132
319,8960573;2,094594595;0,501924759;0,403628118;1,005275657;1,836859043
321,1075269;2,123873874;0,504199475;0,39478458;1,002188295;1,824586998
325,953405;2,094594595;0,514435696;0,424263039;1,009686175;1,878137739
329,5878136;2,036036036;0,517847769;0,412471655;1,014978796;1,884831581
330,7992832;2,065315315;0,521259843;0,400680272;1,022035623;1,883158121
333,2222222;1,992117117;0,521259843;0,418367347;1,022917727;1,898219266
338,0681004;1,948198198;0,517847769;0,427210884;1,025858072;1,904913109
340,4910394;1,875;0,534908136;0,424263039;1,026446141;1,888178502
340,4910394;1,816441441;0,54855643;0,410997732;1,029092451;1,884831581
342,9139785;1,765202703;0,575853018;0,399206349;1,02379983;1,923321176
347,7598566;1,743243243;0,596325459;0,39478458;1,020271416;1,884831581
352,6057348;1,743243243;0,604855643;0,385941043;1,016743003;1,874790817
357,4516129;1,757882883;0,623622047;0,377097506;1,008216002;1,839648144
362,7013142;1,787162162;0,598031496;0,382993197;1,009686175;1,807852392
363,5089606;1,699324324;0,609973753;0,37414966;1,006157761;1,832954302
363,5089606;1,640765766;0,582677165;0,362358277;1,011450382;1,824586998
364,7204301;1,582207207;0,557086614;0,352040816;1,014978796;1,836301223
364,7204301;1,523648649;0,569028871;0,344671202;1,015860899;1,861403132
364,7204301;1,47240991;0,551968504;0,349092971;1,018507209;1,85470929
367,1433692;1,391891892;0,596325459;0,359410431;1,018507209;1,856940571
367,1433692;1,347972973;0,582677165;0,359410431;1,016301951;1,841321605
370,7777778;1,347972973;0,609973753;0,349092971;1,018507209;1,851362369
371,9892473;1,406531532;0,596325459;0,341723356;1,019830365;1,863076593
376,8351254;1,45045045;0,586089239;0,335827664;1,020712468;1,876464278
379,2580645;1,523648649;0,589501312;0,332879819;1,022329658;1,888178502
384,1039427;1,523648649;0,589501312;0,326984127;1,022917727;1,878137739
386,5268817;1,48704955;0,575853018;0,31814059;1,025858072;1,928341558
391,3727599;1,47972973;0,567322835;0,309297052;1,028210348;1,965157691
396,218638;1,46509009;0,569028871;0,316666667;1,026446141;1,931688479
401,0645161;1,494369369;0,569028871;0,321088435;1,02379983;1,914953873
404,6989247;1,509009009;0,557655293;0,322562358;1,021594572;1,898219266
406,3142174;1,557807808;0,545144357;0,335827664;1,019830365;1,914953873
409,5448029;1,567567568;0,551968504;0,324036281;1,018507209;1,928341558
410,7562724;1,611486486;0,54855643;0,312244898;1,016301951;1,996395623
414,390681;1,567567568;0,534908136;0,299470899;1,015860899;1,985239219
415,6021505;1,596846847;0,52808399;0,294557823;1,014537744;1,998626904
418,0250896;1,509009009;0,519553806;0,309297052;1,010568278;1,970178073
418,0250896;1,45045045;0,534908136;0,321088435;1,013214589;1,958463849
420,4480287;1,384572072;0,524671916;0,329931973;1,013214589;1,970178073
422,8709677;1,326013514;0,54855643;0,339758125;1,017037037;2,038789959
427,7168459;1,289414414;0,53832021;0,352040816;1,018507209;2,164299507
427,7168459;1,245495495;0,555380577;0,350566893;1,014978796;2,139197597
431,3512545;1,289414414;0,570166229;0,350566893;1,011744416;2,091225059
431,3512545;1,245495495;0,565616798;0,3638322;1,012332485;2,099034542
432,562724;1,406531532;0,572440945;0,375132275;1,01527283;2,085646857
432,562724;1,355292793;0,555380577;0,377097506;1,02379983;2,052177644
435,3894863;1,46996997;0,546850394;0,386923658;1,020271416;2,038789959
438,6200717;1,494369369;0,521259843;0,397732426;1,024681934;1,998626904
440,2353644;1,557807808;0,534908136;0,39478458;1,027328244;1,983565758
443,4659498;1,567567568;0,521259843;0,406575964;1,029974555;1,995279983
445,0812425;1,616366366;0,507611549;0,40952381;1,030856658;2,005320747
449,5232975;1,677364865;0,500787402;0,399206349;1,028210348;2,028749195
452,3500597;1,733483483;0,489413823;0,40952381;1,026446141;2,012014589
455,5806452;1,772522523;0,476902887;0,390362812;1,025564037;2,023728814
456,7921147;1,831081081;0,483727034;0,385941043;1,028210348;2,045483802
461,6379928;1,88963964;0,47007874;0,381519274;1,031150693;2,045483802
466,483871;1,948198198;0,476902887;0,39281935;1,034385072;2,068912251
471,3297491;1,992117117;0,463254593;0,399206349;1,030856658;2,132503755
476,1756272;1,999436937;0,47007874;0,402154195;1,027328244;2,25299292
478,5985663;1,940878378;0,466666667;0,403628118;1,020271416;2,192748337
479,8100358;1,992117117;0,458136483;0,397732426;1,015860899;2,142544518
483,4444444;1,933558559;0,45984252;0,388888889;1,012332485;2,283115211
488,2903226;1,918918919;0,466666667;0,382993197;1,004393554;2,058871487
493,1362007;1,933558559;0,456430446;0,37414966;1,007921968;2,162626046
495,5591398;1,992117117;0,466666667;0,372675737;1,00351145;2,22621755
497,9820789;2,050675676;0,456430446;0,377097506;0,999100933;2,186054495
502,827957;2,050675676;0,463254593;0,377097506;0,994690416;2,018708432
505,6547192;2,001876877;0,451312336;0,38446712;0,991162002;1,978545377
508,8853047;1,992117117;0,442782152;0,397732426;0,987339553;1,958463849
510,0967742;1,933558559;0,449606299;0,412471655;0,988809726;2,090667239
512,5197133;1,88963964;0,435958005;0,427210884;0,995572519;2,159279125
514,9426523;1,918918919;0,447331584;0,444897959;1,007921968;2,17266681
517,3655914;1,86036036;0,453018373;0,397732426;1,004393554;2,221197168
522,2114695;1,86768018;0,442782152;0,484693878;1,00086514;2,212829865
525,8458781;1,918918919;0,446194226;0,459637188;1,01100933;2,085646857
527,0573477;1,977477477;0,422309711;0,47585034;1,018507209;2,065565329
529,4802867;2,050675676;0,432545932;0,4861678;1,02379983;2,038789959
530,6917563;2,006756757;0,412073491;0,474376417;1,020271416;2,023728814
533,1146953;2,065315315;0,418897638;0,4861678;1,016743003;2,037116499
534,3261649;2,109234234;0,408661417;0,474376417;0,975284139;1,844668526
539,5758662;2,114114114;0,432545932;0,459637188;1,012332485;1,771036258
542,8064516;2,109234234;0,439370079;0,447845805;1,008804071;1,720832439
544,0179211;2,182432432;0,425721785;0,436054422;0,951467345;1,754301652
548,8637993;2,240990991;0,395013123;0,424263039;0,948821035;1,861403132
553,7096774;2,255630631;0,412073491;0,418367347;0,962052587;1,883158121
558,5555556;2,248310811;0,388188976;0,427210884;0,969991518;1,90826003
563,4014337;2,248310811;0,398425197;0,427210884;0,972931863;1,898219266
568,2473118;2,328828829;0,399562555;0,427210884;0,97793045;1,811199313
573,09319;2,372747748;0,40183727;0,427210884;0,982340967;1,787770865
577,9390681;2,372747748;0,412073491;0,427210884;0,986751484;1,923321176
582,7849462;2,372747748;0,412073491;0,427210884;0,999100933;1,921647715
587,6308244;2,387387387;0,412073491;0,431632653;0,995572519;1,945076164
592,4767025;2,402027027;0,412073491;0,433106576;0,992485157;1,985239219
597,3225806;2,423986486;0,408661417;0,433106576;1,006157761;2,022055353
602,1684588;2,438626126;0,398425197;0,444897959;1,007039864;2,025402274
607,0143369;2,460585586;0,389895013;0,464058957;1,004834606;2,050504184
611,8602151;2,475225225;0,39160105;0,475359033;1,001453209;2,065565329
616,7060932;2,489864865;0,383070866;0,492063492;1,002629347;2,110748766
621,5519713;2,460585586;0,384776903;0,495011338;1,00086514;2,005320747
626,3978495;2,460585586;0,374540682;0,503854875;1,001159174;2,018708432
631,2437276;2,460585586;0,384776903;0,500907029;1,003070399;2,032096117
636,0896057;2,445945946;0,373403325;0,489115646;1,004393554;2,045483802
640,9354839;2,402027027;0,371128609;0,495011338;1,001747243;2,058871487
645,781362;2,402027027;0,359755031;0,4861678;0,994690416;2,072259172
648,2043011;2,365427928;0,354068241;0,47585034;0,996454623;2,085646857
653,0501792;2,328828829;0,357480315;0,471428571;0,994690416;1,991933062
657,8960573;2,27027027;0,357480315;0,458163265;0,995572519;2,115769148
662,7419355;2,211711712;0,354068241;0,44686319;0,992926209;2,099034542
662,7419355;2,153153153;0,350656168;0,436054422;0,994690416;2,078953014
666,3763441;2,123873874;0,350656168;0,422789116;0,990279898;2,132503755
672,4336918;2,087274775;0,350656168;0,400680272;0,985869381;2,14589144
677,2795699;2,050675676;0,350656168;0,406575964;0,987633588;2,169319888
679,702509;2,014076577;0,351793526;0,400680272;0,986310433;2,179360652
684,5483871;2,021396396;0,357480315;0,397732426;0,984105174;2,192748337
688,1827957;2,006756757;0,36544182;0,391836735;0,979694656;2,202789101
689,3942652;2,050675676;0,371128609;0,397732426;0,977489398;2,165972967
694,2401434;2,050675676;0,371128609;0,40952381;0,981458863;2,149238361
696,6630824;2,014076577;0,371128609;0,40952381;0,985281312;2,11911607
699,0860215;1,962837838;0,371128609;0,408049887;0,987192536;2,130830294
699,0860215;1,911599099;0,360892388;0,405102041;0,989397795;2,135850676
701,5089606;1,845720721;0,371128609;0,396258503;0,99233814;2,1475649
703,9318996;1,787162162;0,371128609;0,385941043;0,993808312;2,135850676
706,3548387;1,735923423;0,371128609;0,37611489;1,00086514;2,122462991
711,2007168;1,713963964;0,371128609;0,372675737;0,997336726;2,109075306
714,8351254;1,655405405;0,367716535;0,368253968;1,00086514;2,125809912
716,046595;1,684684685;0,377952756;0,359410431;0,999983036;2,139197597
718,4695341;1,611486486;0,377952756;0,350566893;0,999100933;2,152585282
720,8924731;1,574887387;0,379090114;0,341723356;0,996160588;2,164299507
723,7192354;1,528528529;0,384776903;0,347619048;0,994690416;2,17434027
728,1612903;1,523648649;0,374540682;0,341723356;0,993808312;2,176013731
733,0071685;1,523648649;0,377952756;0,346145125;0,994249364;2,179360652
737,8530466;1,530968468;0,379090114;0,344671202;0,995572519;2,192748337
742,6989247;1,552927928;0,374540682;0,341723356;0,995572519;2,202789101
745,1218638;1,611486486;0,381364829;0,351549509;0,993808312;2,058871487
746,3333333;1,567567568;0,367716535;0,353514739;0,993808312;2,072259172
747,5448029;1,670045045;0,374540682;0,3638322;0,993808312;2,085646857
751,1792115;1,684684685;0,371128609;0,365306122;0,994249364;1,991933062
752,390681;1,728603604;0,371128609;0,359410431;0,995572519;2,125809912
757,2365591;1,757882883;0,364304462;0,368253968;0,996013571;2,139197597
762,0824373;1,787162162;0,364304462;0,368253968;0,996895674;2,152585282
